epoch,trial,production,response_time,firing_time,rewarded_time,delivered_reward,passed_time,received_reward,u,utility,at,difficulty,payoff
77,2,P2,0.18,0.441,0.441,0.1799,0.075,0.10490000000000001,0.04196,-0.1829466,0.0746,5,10
77,3,P6,0.27,0.757,0.757,5.0,0.166,4.834,3.09376,4.2287126,0.166,5,10
78,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,3.7853951,0.2028,5,10
78,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,3.7853951,0.2028,5,10
79,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,0.5971993,0.0611,5,10
79,2,P10,0.47,0.631,0.631,9.8201,0.37,9.4501,3.78004,3.7993975,0.3695,5,10
80,1,P4,0.21,0.161,0.161,1.192,0.111,1.081,0.43240005,1.2024391,0.1113,5,10
80,2,P9,0.4,0.613,0.613,9.5257,0.302,9.223700000000001,3.6894798,4.9158535,0.3025,5,10
81,1,P8,0.35,0.298,0.298,8.808,0.248,8.56,5.4783998,6.4085064,0.2477,5,10
81,2,P8,0.35,0.696,0.696,8.808,0.248,8.56,5.4783998,6.4085064,0.2477,5,10
82,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,4.4226975,0.3695,5,10
83,1,P6,0.27,0.216,0.216,5.0,0.166,4.834,3.789856,4.370836,0.166,5,10
83,2,P6,0.27,0.532,0.532,5.0,0.166,4.834,3.789856,4.370836,0.166,5,10
83,3,P6,0.27,0.848,0.848,5.0,0.166,4.834,3.789856,4.370836,0.166,5,10
84,1,P3,0.19,0.141,0.141,0.4743,0.091,0.3833,0.15332,-0.66468924,0.0911,5,10
84,2,P9,0.4,0.593,0.593,9.5257,0.302,9.223700000000001,3.6894798,3.407063,0.3025,5,10
85,1,P7,0.3,0.253,0.253,7.3106,0.203,7.1076,5.572358,4.803043,0.2028,5,10
85,2,P7,0.3,0.606,0.606,7.3106,0.203,7.1076,5.572358,4.803043,0.2028,5,10
86,1,P10,0.47,0.42,0.42,9.8201,0.37,9.4501,6.048064,3.6162663,0.3695,5,10
87,1,P5,0.24,0.186,0.186,2.6894,0.136,2.5534,1.634176,2.5669436,0.1359,5,10
87,2,P7,0.3,0.539,0.539,7.3106,0.203,7.1076,2.84304,2.4324296,0.2028,5,10
87,3,P5,0.24,0.825,0.825,2.6894,0.136,2.5534,1.634176,2.5669436,0.1359,5,10
88,1,P9,0.4,0.352,0.352,9.5257,0.302,9.223700000000001,5.9031677,6.2942038,0.3025,5,10
88,2,P9,0.4,0.804,0.804,9.5257,0.302,9.223700000000001,5.9031677,6.2942038,0.3025,5,10
89,1,P1,0.16,0.111,0.111,0.0669,0.061,0.0059000000000000025,0.0023599998,-0.28626633,0.0611,5,10
